"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
30570,"SA","CHICAGO, IL",60511,"12/15/17","10530","WASHINGTON FEDERAL BANK FOR SAVINGS",166345,143964,"FAILURE","PA","DIF"
17719,"NM","ARGONIA, KS",2595,"10/13/17","10529","THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA",33012,27466,"FAILURE","PA","DIF"
1802,"SM","SAINT ELMO, IL",9015,"05/26/17","10528","FAYETTE COUNTY BANK",34370,33972,"FAILURE","PA","DIF"
30003,"SA","MILWAUKEE, WI",143423,"05/05/17","10527","GUARANTY BANK",1031900,1002026,"FAILURE","PA","DIF"
58302,"NM","NEW ORLEANS, LA",826903,"04/28/17","10526","FIRST NBC BANK",3325870,3032208,"FAILURE","PA","DIF"
35495,"NM","COTTONWOOD HEIGHTS, UT",11763,"03/03/17","10525","PROFICIO BANK",68208,65042,"FAILURE","PA","DIF"
19328,"NM","CHICAGO, IL",55465,"01/27/17","10524","SEAWAY BANK AND TRUST COMPANY",297809,256505,"FAILURE","PA","DIF"
34951,"NM","PENNSVILLE, NJ",22689,"01/13/17","10523","HARVEST COMMUNITY BANK",124223,122177,"FAILURE","PA","DIF"
91,"SM","MULBERRY, AR",8098,"09/23/16","10522","ALLIED BANK",66336,64713,"FAILURE","PA","DIF"
11297,"NM","WOODBURY, GA",4915,"08/19/16","10521","THE WOODBURY BANKING COMPANY",21426,21122,"FAILURE","PA","DIF"
35312,"NM","KING OF PRUSSIA, PA",11544,"05/06/16","10520","FIRST CORNERSTONE BANK",103307,101040,"FAILURE","PA","DIF"
9956,"NM","MEMPHIS, TN",10924,"04/29/16","10519","TRUST COMPANY BANK",18998,20148,"FAILURE","PA","DIF"
20364,"NM","MILWAUKEE, WI",11633,"03/11/16","10518","NORTH MILWAUKEE STATE BANK",67115,61493,"FAILURE","PA","DIF"
35259,"NM","PEACHTREE CITY, GA",28158,"10/02/15","10516","THE BANK OF GEORGIA",286102,264234,"FAILURE","PA","DIF"
35156,"N","LONGVIEW, WA",995,"10/02/15","10517","HOMETOWN NATIONAL BANK",3785,3705,"FAILURE","PA","DIF"
34112,"SM","DENVER, CO",1218,"07/10/15","10515","PREMIER BANK",26760,25480,"FAILURE","PA","DIF"
57772,"NM","CHICAGO, IL",20788,"05/08/15","10514","EDGEBROOK BANK",90034,90007,"FAILURE","PA","DIF"
33938,"NM","ATLANTA, GA",99535,"02/13/15","10512","CAPITOL CITY BANK & TRUST COMPANY",272311,262652,"FAILURE","PA","DIF"
20290,"NM","CHICAGO, IL",4743,"01/23/15","10511","HIGHLAND COMMUNITY BANK",54727,53453,"FAILURE","PA","DIF"
17557,"N","CRESTVIEW, FL",6329,"01/16/15","10510","FIRST NATIONAL BANK OF CRESTVIEW",73804,73199,"FAILURE","PA","DIF"
34983,"NM","MANKATO, MN",3946,"12/19/14","10509","NORTHERN STAR BANK",18794,18221,"FAILURE","PA","DIF"
34738,"SA","PALM DESERT, CA",2905,"11/07/14","10508","FRONTIER BANK, FSB",80736,76344,"FAILURE","PA","DIF"
916,"N","CHICAGO, IL",56963,"10/24/14","10507","THE NATIONAL REPUBLIC BANK OF CHICAGO",843118,809638,"FAILURE","PA","DIF"
4862,"SM","RISING SUN, MD",19837,"10/17/14","10506","NBRS FINANCIAL BANK",155353,151559,"FAILURE","PA","DIF"
28462,"SA","CHICAGO, IL",18412,"07/25/14","10505","GREENCHOICE BANK, FSB",70286,68722,"FAILURE","PA","DIF"
58125,"NM","CONYERS, GA",38334,"07/18/14","10504","EASTSIDE COMMERCIAL BANK",173946,166875,"FAILURE","PA","DIF"
12483,"NM","FREEDOM, OK",3734,"06/27/14","10503","THE FREEDOM STATE BANK",22816,20855,"FAILURE","PA","DIF"
21793,"NM","FORT LANDERDALE, FL",6045,"06/20/14","10501","VALLEY BANK",81843,66541,"FAILURE","PA","DIF"
10450,"NM","MOLINE, IL",56897,"06/20/14","10502","VALLEY BANK",456442,359953,"FAILURE","PA","DIF"
32368,"SA","BEL AIR, MD",10954,"05/30/14","10500","SLAVIE FEDERAL SAVINGS BANK",140063,111142,"FAILURE","PA","DIF"
32284,"SB","CINCINNATI, OH",7224,"05/23/14","10499","COLUMBIA SAVINGS BANK",36484,29538,"FAILURE","PA","DIF"
57866,"NM","BERWYN, IL",21715,"05/16/14","10498","AZTECAMERICA BANK",66309,65031,"FAILURE","PA","DIF"
15062,"NM","FAIRFAX, SC",22981,"04/25/14","10497","ALLENDALE COUNTY BANK",49498,49356,"FAILURE","PA","DIF"
